Date,AA,AAPL,AXP,BA,BAC,CAT,CVX,DD,DIS,GE,HD,HPQ,INTC,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,VZ,WMT,XOM,T
5/31/1995,0.041433321,0.089618569,0.021583204,0.075353597,0.142656967,0.029914507,4.68E-02,0.038329842,0.002257827,0.035715075,-0.002994235,-0.001890332,0.096457884,-0.014559135,0.022381212,0.104790163,0.06021511,0.084176576,1.40E-02,0.096209972,0.035932059,0.029364664,0.023406287,0.02862254,5.99E-02,0.04454846,0.016018521,4.74E-02,0.037923173,0.019830008
6/30/1995,0.077957055,0.117293124,-0.007043126,0.063694253,-0.052980198,0.066390073,-5.60E-02,0.012891436,0,-0.020849493,-0.019821573,0.131786395,0.128062831,0.032258059,0.020793875,0.024390183,0.038273872,0.033003375,-4.37E-02,0.051891399,0.067158834,0.065394547,0.045389635,0,-2.41E-02,0.02965289,0.009009043,7.75E-02,-0.010507927,0.058333386
7/31/1995,0.137157042,-0.030955786,0.099241162,0.069860281,0.04662013,0.100544732,6.47E-02,-0.025454545,0.058037649,0.046563085,0.079754297,0.04530208,0.02725143,0.134114577,0.062963013,0.10427811,0.029411735,-0.012779565,-1.31E-02,0.05089056,0.001382508,0.075892892,0.099050627,-0.03619205,-1.02E-02,0.075200562,0.035088659,-4.67E-03,0.026548694,0.019556506
8/31/1995,0.006235885,-0.041831905,0.048700962,-0.041137177,0.102486306,-0.046181188,-1.01E-02,-0.016384998,-0.040511939,-0.002118191,-0.090909194,0.027287258,-0.055768598,-0.048331423,-0.033788655,0.128329695,-0.020952387,-0.053246327,-2.71E-02,-0.033898305,0.022099548,0.024895413,-0.019730295,0.007259568,1.13E-01,-0.001460771,0.039301335,-7.80E-02,-0.041582201,0.051948065
9/30/1995,-0.074398244,-0.133721168,0.099071563,0.066406274,0.095722978,-0.152700193,7.75E-03,0.051625216,0.020000432,0.089756142,-0.001926493,0.044783601,-0.020367886,-0.085852472,0.074275386,0.04506434,0.077598441,0.047945195,3.20E-02,0.130455944,-0.021621718,0.200132469,0.081011698,0.109909852,8.40E-02,0.059970024,0.031512776,1.02E-02,0.050909056,0.086419823
10/31/1995,-0.035460956,-0.025167766,-0.079677641,-0.040293064,-0.022304874,0.004629795,-4.10E-02,-0.09272726,0.005977801,-0.007842852,-0.065830481,0.110944545,0.162848954,0.02910051,0.099494029,-0.058003048,0.041666697,0.071895421,8.87E-03,0.026785665,0.104972532,0.019122538,0.074941838,0.057234212,-1.31E-01,0.004242762,0.046534812,-1.26E-01,0.057093474,0.023594194
11/30/1995,0.15214176,0.053189419,0.046153668,0.116597543,0.096299193,0.08149786,6.72E-02,0.075167852,0.043383977,0.061264632,0.19127473,-0.103913723,-0.128801347,-0.003904962,0.067211335,0.054945244,0.056998138,0.090094561,1.58E-01,0.076086991,-0.12875032,0.024283059,0.01531149,0.067901233,1.03E-01,0.062981778,-0.007873919,1.12E-01,0.023107472,-0.031319864
12/31/1995,-0.0961538,-0.163934907,-0.026469986,0.075471732,-0.026223826,-0.0427699,6.08E-02,0.050751869,-0.019303606,0.079510925,0.077280529,0.011685972,-0.06776243,-0.054333809,-0.012987008,-0.020833509,-0.019801974,0.011204507,1.53E-02,0.066326748,0.007174911,0.201183436,0.086206528,-0.040462454,4.02E-04,0.012000442,0.061507662,-7.29E-02,0.048465258,0.057736651
1/31/1996,0.053860796,-0.13333327,0.117843315,-0.01116429,0.003590638,0.102859943,-9.55E-03,0.098389921,0.091295176,0.065972455,-0.036649178,0.011940351,-0.025990837,0.187414542,0.122806997,0.150214849,0.01515151,0.113573375,-2.82E-02,0.068571456,0.054130024,0.001795846,0.087301787,0.016630274,2.47E-02,0.081685513,0.040404506,-8.43E-02,-0.010785882,-0.003961616
2/29/1996,0.024774778,-0.00452453,-0.002717327,0.050050483,0.063682147,0.036893194,8.19E-02,0.003202918,0.019455601,-0.01628719,-0.059782604,0.188790494,0.064779892,0.132652014,-0.02273831,0.069030038,0.07131012,-0.003640141,1.69E-02,-0.05525846,0.066892149,-0.068100265,-0.034043908,-0.023809528,-6.58E-03,0.051923342,-0.039927476,4.29E-02,-0.00014469,-0.030905098
